"id","tSNE1","tSNE2","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","degs","X.","Topology","Signalp","tmhmm","Cluster","query_ko","pathway_count","level1_pathway_id","level1_pathway_name","level2_pathway_id","level2_pathway_name","level3_pathway_id","level3_pathway_name","ko","ko_name","ko_des","ec"
"g_07157",7.95282569964685,37.2451517009913,0.424007270016892,0.34032749408971,0.180295371832348,0.553313339194873,0.650311312261893,0.789687157668419,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 2","K02890",2,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3011,"Ribosome","K02890","RP-L22, MRPL22, rplV","large subunit ribosomal protein L22","-"
"g_07157",7.95282569964685,37.2451517009913,0.424007270016892,0.34032749408971,0.180295371832348,0.553313339194873,0.650311312261893,0.789687157668419,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 2","K02890",2,9120,"Genetic Information Processing",9122,"Translation",3010,"Ribosome","K02890","RP-L22, MRPL22, rplV","large subunit ribosomal protein L22","-"
"g_07822",29.0812558030518,23.9176957949601,0.140644092283867,0.0715742116615086,0.138532576504094,0.29513192783979,0.271584902127054,0.884816540243153,"Yellow_vs_Dark","N","Topology=i",0,1,"Cluster 2","K02887",2,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3011,"Ribosome","K02887","RP-L20, MRPL20, rplT","large subunit ribosomal protein L20","-"
"g_07822",29.0812558030518,23.9176957949601,0.140644092283867,0.0715742116615086,0.138532576504094,0.29513192783979,0.271584902127054,0.884816540243153,"Yellow_vs_Dark","N","Topology=i",0,1,"Cluster 2","K02887",2,9120,"Genetic Information Processing",9122,"Translation",3010,"Ribosome","K02887","RP-L20, MRPL20, rplT","large subunit ribosomal protein L20","-"
"g_08281",-4.72848335360445,42.2624004264275,0.490759849199209,0.42255586310379,0.450242486048049,0.782624385718522,0.884162259653965,0.941002801661277,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 2","K03088",1,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3021,"Transcription machinery","K03088","rpoE","RNA polymerase sigma-70 factor, ECF subfamily","-"
"g_09581",7.57193650454264,48.5325111367591,0.268063346367562,0.343003063010258,0.262707081889867,0.696734942471318,0.697637806025337,1.11564648507595,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 2","K09747",1,9190,"Not Included in Pathway or Brite",9192,"Unclassified: genetic information processing",99998,"Others","K09747","ebfC","nucleoid-associated protein EbfC","-"
"g_11168",-16.3001360794184,45.1424818661876,0.375487666201653,0.271314792175387,0.649130614385794,1.26885306270956,0.883472916115165,1.17091392893439,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 2","K06075",1,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3000,"Transcription factors","K06075","slyA","MarR family transcriptional regulator, transcriptional regulator for hemolysin","-"
"g_11296",11.2598968737412,28.0987495735137,0.294595613414184,0.199645767325144,0.416430963786178,0.462595781479803,0.581367935250057,0.645228267357803,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 2","K03694",1,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3110,"Chaperones and folding catalysts","K03694","clpA","ATP-dependent Clp protease ATP-binding subunit ClpA","-"
"g_12144",3.54290504678433,49.0529334369644,0.357981893021047,0.171154329015693,0.293374047339564,0.657800402377428,0.790142182299261,1.06722099103719,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 2","K07167",1,9190,"Not Included in Pathway or Brite",9193,"Unclassified: signaling and cellular processes",99995,"Signaling proteins","K07167","chrR","putative transcriptional regulator","-"
"g_17679",-11.8618456221981,49.3773201148281,0.479168319331853,0.230262901320062,0.645024049062973,0.561459886521835,1.10615249944462,1.45811558112989,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 2","K05808",1,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3009,"Ribosome biogenesis","K05808","yhbH","putative sigma-54 modulation protein","-"
"g_19200",19.9964822477708,27.0965907499968,0.212669590229575,0.317310601891756,0.147018975925924,0.354618915449524,0.613540881528615,0.622673986346055,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 2","K03711",1,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3000,"Transcription factors","K03711","fur, zur, furB","Fur family transcriptional regulator, ferric uptake regulator","-"
"g_20460",20.3291955631583,23.2468459011911,0.0995756796805709,0.11353993927829,0.252197212375673,0.430601310572069,0.386064096709375,0.719855356378174,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 2","K05311",1,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3000,"Transcription factors","K05311","cggR","central glycolytic genes regulator","-"
"g_23049",-1.29604982212936,53.1979109661828,0.33959691056135,0.288702515815523,0.43600687760798,0.708032070808556,1.03563390865907,1.00109915355154,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 2","K03704",1,9190,"Not Included in Pathway or Brite",9192,"Unclassified: genetic information processing",99973,"Transcription","K03704","cspA","cold shock protein","-"
"g_25804",20.249131988124,39.9339672942985,0.30440822806524,0.213569284905406,0.21223689269848,0.471436353982639,0.506542101442148,0.96625482238188,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 2","K03086",2,9140,"Cellular Processes",9142,"Cell motility",2040,"Flagellar assembly","K03086","rpoD","RNA polymerase primary sigma factor","-"
"g_25804",20.249131988124,39.9339672942985,0.30440822806524,0.213569284905406,0.21223689269848,0.471436353982639,0.506542101442148,0.96625482238188,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 2","K03086",2,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3021,"Transcription machinery","K03086","rpoD","RNA polymerase primary sigma factor","-"
"g_27616",-13.2951185729856,51.7857065957937,0.532290416821785,0.247525245842887,0.421354629521008,0.797328420909412,1.00088627183747,1.58760126655935,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 2","K05516",2,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3110,"Chaperones and folding catalysts","K05516","cbpA","curved DNA-binding protein","-"
"g_27616",-13.2951185729856,51.7857065957937,0.532290416821785,0.247525245842887,0.421354629521008,0.797328420909412,1.00088627183747,1.58760126655935,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 2","K05516",2,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3036,"Chromosome and associated proteins","K05516","cbpA","curved DNA-binding protein","-"
