"id","tSNE1","tSNE2","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","degs","X.","Topology","Signalp","tmhmm","Cluster","query_ko","pathway_count","level1_pathway_id","level1_pathway_name","level2_pathway_id","level2_pathway_name","level3_pathway_id","level3_pathway_name","ko","ko_name","ko_des","ec"
"g_01671",6.39594469610136,7.83178227147662,1.2660107761219,1.95145394171794,1.14377443206537,0.989487994745354,0.767338157263316,0.652114968817881,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 4","K16087",1,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2000,"Transporters","K16087","TC.FEV.OM3, tbpA, hemR, lbpA, hpuB, bhuR, hugA, hmbR","hemoglobin/transferrin/lactoferrin receptor protein","-"
"g_03149",-4.50050665454338,19.040347844489,1.13650974051699,1.02590956548995,1.26070497168008,1.58832096144912,1.75043965826052,2.13707119603764,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 4","K03089",1,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3021,"Transcription machinery","K03089","rpoH","RNA polymerase sigma-32 factor","-"
"g_05521",6.23157702843691,5.82520180922998,1.23205854686403,1.4976060948034,1.07730760866803,0.848315074924694,0.812712933610751,0.680729101386947,"Yellow_vs_Dark","Y","Topology=i188-207o234-251i",1,1,"Cluster 4","K10945",2,9100,"Metabolism",9102,"Energy metabolism",910,"Nitrogen metabolism","K10945","pmoB-amoB","methane/ammonia monooxygenase subunit B","-"
"g_05521",6.23157702843691,5.82520180922998,1.23205854686403,1.4976060948034,1.07730760866803,0.848315074924694,0.812712933610751,0.680729101386947,"Yellow_vs_Dark","Y","Topology=i188-207o234-251i",1,1,"Cluster 4","K10945",2,9100,"Metabolism",9102,"Energy metabolism",680,"Methane metabolism","K10945","pmoB-amoB","methane/ammonia monooxygenase subunit B","-"
"g_05560",-14.0700908085291,28.3596351847505,0.768727762334381,0.622434845466176,0.832220266442504,1.10547247615323,1.19132917693569,1.64257784741098,"Yellow_vs_Dark","N","Topology=i94-116o179-201i",0,1,"Cluster 4","K09790",1,9190,"Not Included in Pathway or Brite",9194,"Poorly characterized",99997,"Function unknown","K09790","K09790","uncharacterized protein","-"
"g_08424",5.43232678002134,4.17392188108086,1.27923877963985,1.14269705543417,1.19530032761239,0.629834917805117,0.824460443800688,0.732392875148123,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 4","K11959",2,9130,"Environmental Information Processing",9131,"Membrane transport",2010,"ABC transporters","K11959","urtA","urea transport system substrate-binding protein","-"
"g_08424",5.43232678002134,4.17392188108086,1.27923877963985,1.14269705543417,1.19530032761239,0.629834917805117,0.824460443800688,0.732392875148123,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 4","K11959",2,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2000,"Transporters","K11959","urtA","urea transport system substrate-binding protein","-"
"g_10959",5.4903243516024,8.2699736218476,1.50352118712283,1.61955550384421,1.10313329596361,0.857191689813079,1.16021352210324,0.785588981646681,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 4","K12410",1,9100,"Metabolism",9108,"Metabolism of cofactors and vitamins",760,"Nicotinate and nicotinamide metabolism","K12410","npdA","NAD-dependent deacetylase","[EC:2.3.1.286]"
"g_10966",5.93165352343569,3.41511682201209,1.13403971869429,0.967559441816226,1.14062580823617,0.807343882909395,0.836207043004767,0.661490109212113,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 4","K01810",5,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K01810","GPI, pgi","glucose-6-phosphate isomerase","[EC:5.3.1.9]"
"g_10966",5.93165352343569,3.41511682201209,1.13403971869429,0.967559441816226,1.14062580823617,0.807343882909395,0.836207043004767,0.661490109212113,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 4","K01810",5,9100,"Metabolism",9101,"Carbohydrate metabolism",10,"Glycolysis / Gluconeogenesis","K01810","GPI, pgi","glucose-6-phosphate isomerase","[EC:5.3.1.9]"
