"id","umap1","umap2","W_1","W_2","W_3","B_1","B_2","B_3","degs","X.","Topology","Signalp","tmhmm","Cluster","id_raw","Gene","KO","Definition","Pathway","Enzyme","Modules","Hyperlink"
"comp108175_c0_seq1.60.553.minus.Z1_3",7.3664986998154,6.15041988863283,0.18824765650115,0.830449478558752,0.56990916886581,-1.53503258895216,-1.53503258895216,-1.53503258895216,"Blue_vs_White","N","N",0,0,"Cluster 2","comp108175_c0_seq1.60.553.minus.Z1_3_1","fbo:J9309_03420","K09748","ribosome maturation factor RimP","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K09748"
"comp108288_c0_seq1.42.572.minus.B_2",-4.49265357997921,9.59434675229878,-0.473253329279434,-0.482699324378481,-0.451713768008449,-0.58829552770662,-0.528171731506116,-0.599274720743358,"Blue_vs_White","N","N",0,0,"Cluster 2","comp108288_c0_seq1.42.572.minus.B_2_1","rpb:RPB_3823","K08296","phosphohistidine phosphatase [EC:3.1.3.-]","-","3.1.3.-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K08296"
"comp108313_c0_seq1.1.365.minus.B_2",3.34757289444158,6.94204323682945,0.0775767331662861,0.0842008796498065,-0.0594178722451047,-0.736063902441591,-0.745455912252589,-0.765995447727109,"Blue_vs_White","N","Y",0,1,"Cluster 2","comp108313_c0_seq1.1.365.minus.B_2_1","rpb:RPB_2038","K04088","modulator of FtsH protease HflK","-","-","M00742","http://www.genome.jp/dbget-bin/www_bget?ko:K04088"
"comp109002_c0_seq1.1.455.minus.Y_2",1.87477400834176,7.253877560792,-0.0934835101320263,-0.233768167649082,-0.31026547454238,-0.943743949172744,-0.943743949172744,-0.943743949172744,"Blue_vs_White","N","N",0,0,"Cluster 2","comp109002_c0_seq1.1.455.minus.Y_2_1","bacc:BRDCF_p2205","K00946","thiamine-monophosphate kinase [EC:2.7.4.16]","map00730,map01100,map01240","2.7.4.16","M00127","http://www.genome.jp/dbget-bin/www_bget?ko:K00946"
"comp112236_c0_seq1.1.454.minus.R_3",1.22430891243295,8.39288720149354,-0.0216675237598017,-0.592547731514882,-0.051546187702342,-0.724255518526301,-0.724255518526301,-0.724255518526301,"Blue_vs_White","N","N",0,0,"Cluster 2","comp112236_c0_seq1.1.454.minus.R_3_1","rpt:Rpal_2540","K02406","flagellin","map02020,map02040,map04621,map04626,map05131,map05132,map05134","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K02406"
"comp112640_c0_seq1.153.947.minus.B_2",1.56875009573313,9.05066964508355,-0.24175453594982,-0.137003086680809,-0.220335677943757,-0.690168376054781,-0.651045876145309,-0.68909988382473,"Blue_vs_White","Y","Y",1,1,"Cluster 2","comp112640_c0_seq1.153.947.minus.B_2_1","rpd:RPD_3331","K03832","periplasmic protein TonB","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K03832"
"comp114494_c0_seq1.1.498.minus.B_3",-1.5254497949536,10.1004936022385,-0.370801118712013,-0.368714382144267,-0.330696694873798,-0.639866044302969,-0.617968860579091,-0.643677226879194,"Blue_vs_White","N","N",0,0,"Cluster 2","comp114494_c0_seq1.1.498.minus.B_3_1","rpb:RPB_0614","K09826","Fur family transcriptional regulator, iron response regulator","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K09826"
"comp116189_c0_seq1.1.274.minus.B_3",-0.675079377419963,10.1433623548299,-0.369965649430988,-0.268734340821316,-0.386790588160338,-0.632589615537313,-0.621922432247429,-0.649203297091484,"Blue_vs_White","N","N",0,0,"Cluster 2","comp116189_c0_seq1.1.274.minus.B_3_1","bel:BE61_90840","K14981","two-component system, OmpR family, response regulator ChvI","map02020","-","M00520","http://www.genome.jp/dbget-bin/www_bget?ko:K14981"
"comp117987_c0_seq1.17.529.minus.R_3",2.60648503181803,7.61161127192126,-0.206841641941541,0.00197450985711421,-0.117509934491622,-0.784888007844887,-0.764798699948415,-0.784888007844887,"Blue_vs_White","Y","N",1,0,"Cluster 2","comp117987_c0_seq1.17.529.minus.R_3_1","ppn:Palpr_1446","K06142","outer membrane protein","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K06142"
"comp125320_c0_seq1.120.551.minus.B_3",2.47752299131922,7.96487753867137,-0.105546982184413,-0.132243504157668,-0.0575879111501887,-0.763537358393797,-0.656896428894483,-0.752353850843771,"Blue_vs_White","N","Y",0,1,"Cluster 2","comp125320_c0_seq1.120.551.minus.B_3_1","rpx:Rpdx1_1014","K02116","ATP synthase protein I","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K02116"
"comp12567_c0_seq1.2027.2386.plus.Z1_1",-9.4641013790352,4.26564060492283,-0.571421775748585,-0.54366787508291,-0.611422175663605,-0.611422175663605,-0.560044850410436,-0.611422175663605,"Blue_vs_White","N","N",0,0,"Cluster 2","comp12567_c0_seq1.2027.2386.plus.Z1_1_1","sass:MUG09_10165","K02887","large subunit ribosomal protein L20","map03010","-","M00178","http://www.genome.jp/dbget-bin/www_bget?ko:K02887"
"comp12796_c0_seq1.11.409.plus.Z1_1",-5.97151393757397,8.71507419565969,-0.533626401053753,-0.519910078781206,-0.503929269341022,-0.594573455679879,-0.543460745324635,-0.594573455679879,"Blue_vs_White","N","N",0,0,"Cluster 2","comp12796_c0_seq1.11.409.plus.Z1_1_1","cbar:PATL70BA_1292","K07491","REP-associated tyrosine transposase","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K07491"
