"id","umap1","umap2","W_1","W_2","W_3","B_1","B_2","B_3","degs","X.","Topology","Signalp","tmhmm","Cluster","id_raw","Gene","KO","Definition","Pathway","Enzyme","Modules","Hyperlink"
"comp10010_c0_seq1.60.368.minus.Z4_2",0.0151852776114353,6.05304148762167,-0.793481304715067,-0.515828685017907,-0.523698378401706,-1.10722384641449,-1.07008873075969,-1.10722384641449,"Blue_vs_White","N","N",0,0,"Cluster 6","comp10010_c0_seq1.60.368.minus.Z4_2_1","thk:CCZ27_17935","K02610","ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB","map00360,map01100,map01120","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K02610"
"comp10147_c0_seq1.46.630.minus.Z3_1",-9.32324285591373,3.76112380391835,-0.589171158659547,-0.595322692506292,-0.602332579913048,-0.610691308628392,-0.569367715810724,-0.610691308628392,"Blue_vs_White","N","N",0,0,"Cluster 6","comp10147_c0_seq1.46.630.minus.Z3_1_1","caqt:KAQ61_06655","K04564","superoxide dismutase, Fe-Mn family [EC:1.15.1.1]","map04013,map04068,map04146,map04211,map04212,map04213,map05016,map05208,map05417","1.15.1.1","-","http://www.genome.jp/dbget-bin/www_bget?ko:K04564"
"comp10195_c0_seq1.1754.2248.plus.Z3_1",-9.6074949517205,5.84684962722625,-0.58512374634743,-0.537613861567802,-0.562146904190038,-0.604347399148436,-0.549010741442684,-0.548186870608355,"Blue_vs_White","N","N",0,0,"Cluster 6","comp10195_c0_seq1.1754.2248.plus.Z3_1_1","caqt:KAQ61_02210","K03564","thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]","-","1.11.1.24","-","http://www.genome.jp/dbget-bin/www_bget?ko:K03564"
"comp103336_c0_seq1.1.365.minus.Z4_1",-10.1831734055841,5.66804703150655,-0.575009615969764,-0.554408235279127,-0.575469614900655,-0.581745314600674,-0.581745314600674,-0.581745314600674,"Blue_vs_White","N","N",0,0,"Cluster 6","comp103336_c0_seq1.1.365.minus.Z4_1_1","ajs:Ajs_2301","K04564","superoxide dismutase, Fe-Mn family [EC:1.15.1.1]","map04013,map04068,map04146,map04211,map04212,map04213,map05016,map05208,map05417","1.15.1.1","-","http://www.genome.jp/dbget-bin/www_bget?ko:K04564"
"comp10424_c0_seq1.1.439.minus.Z3_3",-7.47414633771189,3.06035580836323,-0.632547831437104,-0.624978217148824,-0.632547831437104,-0.632547831437104,-0.632547831437104,-0.632547831437104,"Blue_vs_White","N","N",0,0,"Cluster 6","comp10424_c0_seq1.1.439.minus.Z3_3_1","arad:KI609_20805","K03821","poly[(R)-3-hydroxyalkanoate] polymerase subunit PhaC [EC:2.3.1.304]","map00650,map01100","2.3.1.304","-","http://www.genome.jp/dbget-bin/www_bget?ko:K03821"
"comp105774_c0_seq1.1.518.minus.W_3",-3.92060356917609,5.0827047152408,-0.743754139260445,-0.723160199556447,-0.740262455227865,-0.751271754062832,-0.751271754062832,-0.749153847354545,"Blue_vs_White","Y","N",1,0,"Cluster 6","comp105774_c0_seq1.1.518.minus.W_3_1","afq:AFA_12010","K03286","OmpA-OmpF porin, OOP family","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K03286"
"comp107059_c0_seq1.1.400.minus.Y_3",-8.5084987817683,4.41983659021795,-0.605412305152019,-0.587136901438777,-0.621136272632568,-0.621136272632568,-0.480451265476413,-0.621136272632568,"Blue_vs_White","N","Y",0,1,"Cluster 6","comp107059_c0_seq1.1.400.minus.Y_3_1","sass:MUG09_15490","K03210","preprotein translocase subunit YajC","map02024,map03060,map03070","-","M00335","http://www.genome.jp/dbget-bin/www_bget?ko:K03210"
"comp10724_c0_seq1.1.531.minus.Z4_2",-10.6941897932369,4.35925325719482,-0.589150911692956,-0.589150911692956,-0.573473061384522,-0.589150911692956,-0.589150911692956,-0.589150911692956,"Blue_vs_White","N","N",0,0,"Cluster 6","comp10724_c0_seq1.1.531.minus.Z4_2_1","cke:B5M06_08005","K03070","preprotein translocase subunit SecA [EC:7.4.2.8]","map02024,map03060,map03070","7.4.2.8","M00335","http://www.genome.jp/dbget-bin/www_bget?ko:K03070"
"comp108083_c0_seq1.33.301.minus.Z2_2",-10.4857203128597,4.40763797065833,-0.571565783917779,-0.605379172962626,-0.524661218958681,-0.605379172962626,-0.605379172962626,-0.605379172962626,"Blue_vs_White","N","N",0,0,"Cluster 6","comp108083_c0_seq1.33.301.minus.Z2_2_1","ppn:Palpr_2739","K04043","molecular chaperone DnaK","map03018,map04212,map05152","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K04043"
"comp109108_c0_seq1.55.444.plus.W_1",-2.95724797120737,5.91194119153757,-0.671503644766675,-0.766635805175299,-0.668915490402617,-0.797903507897838,-0.797903507897838,-0.797903507897838,"Blue_vs_White","N","Y",0,1,"Cluster 6","comp109108_c0_seq1.55.444.plus.W_1_1","azr:CJ010_09505","K00241","succinate dehydrogenase cytochrome b subunit","map00020,map00190,map00650,map00720,map01100,map01110,map01120,map01200","-","M00173,M00376,M00374,M00009,M00011,M00149","http://www.genome.jp/dbget-bin/www_bget?ko:K00241"
