"id","umap1","umap2","W_1","W_2","W_3","B_1","B_2","B_3","degs","X.","Topology","Signalp","tmhmm","Cluster","id_raw","Gene","KO","Definition","Pathway","Enzyme","Modules","Hyperlink"
"comp10144_c0_seq1.205.651.plus.Z1_3",8.87787820916473,1.91697020231117,1.32443619841278,1.86658144513785,1.58475406274997,-0.870732277392013,-0.870732277392013,-0.870732277392013,"Blue_vs_White","Y","Y",1,1,"Cluster 5","comp10144_c0_seq1.205.651.plus.Z1_3_1","lacs:H4075_14995","K19342","copper chaperone NosL","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K19342"
"comp104130_c0_seq1.1.862.minus.B_2",8.7481386279283,0.788804903657353,1.02898866559521,1.98639870461105,1.54474910696449,-0.681127751762596,0.539555550556215,-0.444529753023368,"Blue_vs_White","N","N",0,0,"Cluster 5","comp104130_c0_seq1.1.862.minus.B_2_1","dden:KI615_10760","K07795","putative tricarboxylic transport membrane protein","map02020","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K07795"
"comp118924_c0_seq1.158.651.minus.Z4_2",7.17088869049535,3.54234705757199,1.28745624672987,0.714712211515083,1.30207023677064,-0.614849946236501,-0.176119309055144,-1.53770787051309,"Blue_vs_White","N","N",0,0,"Cluster 5","comp118924_c0_seq1.158.651.minus.Z4_2_1","plia:E4191_16655","K07483","transposase","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K07483"
"comp12198_c1_seq1.1.421.minus.Z4_2",9.44932728471245,0.878652553581913,0.668197350090646,2.12630769319225,0.844621623400392,-1.78617042403791,-0.054487436466024,-1.08631285037688,"Blue_vs_White","N","N",0,0,"Cluster 5","comp12198_c1_seq1.1.421.minus.Z4_2_1","ppan:ESD82_11890","K24967","GntR family transcriptional regulator, N-acetylglucosamine utilization regulator","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K24967"
"comp13175_c0_seq1.20.718.minus.Z4_2",8.54465564248559,2.40302588134128,1.42025891505119,1.62680408195007,1.48231879470415,-1.00090791564731,-1.24957001214812,-0.90239274133513,"Blue_vs_White","N","N",0,0,"Cluster 5","comp13175_c0_seq1.20.718.minus.Z4_2_1","ppan:ESD82_02730","K07336","PKHD-type hydroxylase [EC:1.14.11.-]","-","1.14.11.-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K07336"
"comp14769_c0_seq1.11.1400.minus.Y_1",9.1900966413996,3.39730441021314,1.06323188203409,1.40116636081126,1.52574555521035,-1.31665022240269,-0.859111912510968,-1.19889995800198,"Blue_vs_White","Y","N",1,0,"Cluster 5","comp14769_c0_seq1.11.1400.minus.Y_1_1","qau:KI612_11460","K07304","peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]","-","1.8.4.11","-","http://www.genome.jp/dbget-bin/www_bget?ko:K07304"
"comp148848_c0_seq1.1.560.minus.Z2_2",7.74399909579707,1.91319554690186,1.38774863137838,1.65994373393556,1.33717141781398,-0.154233510247598,-0.767762517155658,-0.599462478915498,"Blue_vs_White","N","N",0,0,"Cluster 5","comp148848_c0_seq1.1.560.minus.Z2_2_1","htn:KI616_12355","K00381","sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]","map00920,map01100,map01120","1.8.1.2","M00176","http://www.genome.jp/dbget-bin/www_bget?ko:K00381"
"comp15135_c0_seq1.383.1714.minus.B_3",9.34557256619667,1.00466416034782,0.411936826240791,2.09987308986159,0.731778049787519,-0.901033505258868,-0.189718415472457,-0.293482572788999,"Blue_vs_White","Y","Y",1,1,"Cluster 5","comp15135_c0_seq1.383.1714.minus.B_3_1","clac:EG342_12485","K12340","outer membrane protein","map01501,map01503,map02020,map03070,map04626,map05133","-","M00720,M00821,M00325,M00326,M00571,M00339,M00709,M00646,M00647,M00575,M00696,M00697","http://www.genome.jp/dbget-bin/www_bget?ko:K12340"
"comp15289_c0_seq1.431.1531.plus.Z4_2",6.99235763769194,2.31393474292355,1.3539825471073,1.21583127797546,1.16692058020829,-0.372264755227916,-0.860728171086906,-0.348023926948573,"Blue_vs_White","Y","N",1,0,"Cluster 5","comp15289_c0_seq1.431.1531.plus.Z4_2_1","ppan:ESD82_10945","K02394","flagellar P-ring protein FlgI","map02040","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K02394"
"comp15418_c0_seq1.1.895.minus.Y_1",9.41736371859216,3.23128064311797,1.15176078305696,1.63979632347823,1.34470105262892,-1.14844191413126,-1.1413007725425,-1.16850614880664,"Blue_vs_White","N","N",0,0,"Cluster 5","comp15418_c0_seq1.1.895.minus.Y_1_1","fle:KI610_07580","K03694","ATP-dependent Clp protease ATP-binding subunit ClpA","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K03694"
"comp15598_c0_seq1.1.361.minus.Y_1",9.15511599960292,1.66904786584909,1.14473993233029,2.09425262018229,1.465663404154,-0.75490990155866,-0.75490990155866,-0.75490990155866,"Blue_vs_White","N","N",0,0,"Cluster 5","comp15598_c0_seq1.1.361.minus.Y_1_1","dvm:DvMF_0156","K19784","chromate reductase, NAD(P)H dehydrogenase (quinone)","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K19784"
"comp161844_c0_seq1.1.276.minus.Z1_1",9.61576470802648,1.91551949602824,0.887459839358679,2.05137465888452,0.52487093209673,-0.910432166002463,-0.910432166002463,-0.910432166002463,"Blue_vs_White","N","N",0,0,"Cluster 5","comp161844_c0_seq1.1.276.minus.Z1_1_1","ppn:Palpr_1717","K05808","putative sigma-54 modulation protein","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K05808"
"comp16804_c0_seq1.137.1912.plus.W_1",8.72583160273137,2.87119306292277,1.25094073733392,1.43447260062208,1.69427906200898,-1.11369623210894,-1.0539706088016,-1.09540525997107,"Blue_vs_White","N","N",0,0,"Cluster 5","comp16804_c0_seq1.137.1912.plus.W_1_1","fbo:J9309_10595","K05592","ATP-dependent RNA helicase DeaD [EC:3.6.4.13]","map03018","3.6.4.13","-","http://www.genome.jp/dbget-bin/www_bget?ko:K05592"
"comp16824_c0_seq1.175.2715.minus.W_1",9.3334606647736,3.10020647568582,1.17515894264518,1.63396116245216,1.43987179544866,-1.11797562376458,-1.12461222792663,-1.17645287175853,"Blue_vs_White","N","N",0,0,"Cluster 5","comp16824_c0_seq1.175.2715.minus.W_1_1","cnr:EB819_05575","K00525","ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]","map00230,map00240,map01100,map01232","1.17.4.1","M00053","http://www.genome.jp/dbget-bin/www_bget?ko:K00525"
