"id","umap1","umap2","W_1","W_2","W_3","B_1","B_2","B_3","degs","X.","Topology","Signalp","tmhmm","Cluster","id_raw","Gene","KO","Definition","Pathway","Enzyme","Modules","Hyperlink"
"comp113287_c0_seq1.5.655.minus.Y_1",3.50762550842918,-1.60740040036229,0.172158119216306,0.811032816451444,0.603096785715711,1.41002532390674,1.62872321537672,0.726794879096355,"Blue_vs_White","Y","N",1,0,"Cluster 1","comp113287_c0_seq1.5.655.minus.Y_1_1","kbe:J4771_11385","K07152","protein SCO1","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K07152"
"comp14914_c0_seq1.105.1510.minus.Y_1",2.13994616434169,-1.8871731818736,0.048505927882403,0.283006672277645,0.121478606851425,1.49366902429807,1.95962998479818,0.941243040540398,"Blue_vs_White","N","N",0,0,"Cluster 1","comp14914_c0_seq1.105.1510.minus.Y_1_1","kbe:J4771_11105","K01585","arginine decarboxylase [EC:4.1.1.19]","map00330,map01100,map01110","4.1.1.19","M00133","http://www.genome.jp/dbget-bin/www_bget?ko:K01585"
"comp14924_c0_seq1.696.2839.minus.Y_1",3.37075542429591,-2.23766204334317,0.542958200750739,0.779180336342154,0.26063842068588,0.744814580110314,2.17403017435368,0.592450925422719,"Blue_vs_White","Y","N",1,0,"Cluster 1","comp14924_c0_seq1.696.2839.minus.Y_1_1","kbe:J4771_12090","K01278","dipeptidyl-peptidase 4 [EC:3.4.14.5]","map04974","3.4.14.5","-","http://www.genome.jp/dbget-bin/www_bget?ko:K01278"
"comp156258_c0_seq1.36.467.minus.Z2_3",3.1671409267931,-2.72722543679723,-0.125670530046083,0.497038900665203,0.698220160503284,0.400629867370973,2.37457578520489,0.861650895256274,"Blue_vs_White","N","N",0,0,"Cluster 1","comp156258_c0_seq1.36.467.minus.Z2_3_1","aoz:HUE56_13825","K07216","hemerythrin","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K07216"
"comp16804_c0_seq1.1873.3259.minus.R_2",2.66181969933148,-1.86660257387966,0.122058557231275,0.405486418196496,0.201728577850852,1.43599020430445,1.79653907910292,1.09312167444947,"Blue_vs_White","N","N",0,0,"Cluster 1","comp16804_c0_seq1.1873.3259.minus.R_2_1","kbe:J4771_12355","K01892","histidyl-tRNA synthetase [EC:6.1.1.21]","map00970","6.1.1.21","M00360,M00359","http://www.genome.jp/dbget-bin/www_bget?ko:K01892"
"comp17179_c0_seq1.2186.3546.minus.W_1",1.72372935376748,-1.97161935045443,-0.0223486211950895,0.206408305400489,-0.0864575199595877,1.65774358784231,2.01860459874993,0.792406952922531,"Blue_vs_White","N","Y",0,1,"Cluster 1","comp17179_c0_seq1.2186.3546.minus.W_1_1","kbe:J4771_03555","K03699","magnesium and cobalt exporter, CNNM family","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K03699"
"comp17229_c0_seq1.3143.4576.plus.W_1",2.4997440824543,-1.57432442590324,0.175848442809934,0.289708371206387,0.218340264618077,1.90584425072504,1.7332389531933,0.522534054384783,"Blue_vs_White","N","N",0,0,"Cluster 1","comp17229_c0_seq1.3143.4576.plus.W_1_1","kbe:J4771_08535","K06168","tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]","-","2.8.4.3","-","http://www.genome.jp/dbget-bin/www_bget?ko:K06168"
"comp17229_c0_seq1.8302.8676.plus.W_1",3.79671707877523,-1.54629372681839,0.928436193530395,0.757239472825566,0.386813214913787,1.43075116376765,1.22614263594036,0.817339348795056,"Blue_vs_White","N","Y",0,1,"Cluster 1","comp17229_c0_seq1.8302.8676.plus.W_1_1","kbe:J4771_08560","K07090","uncharacterized protein","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K07090"
"comp17964_c0_seq1.2966.4930.plus.B_3",3.82953193445007,-1.5403877910406,0.93421698049254,0.691050091626873,0.624838071700824,1.5619328948895,0.991341076115014,0.738956435455721,"Blue_vs_White","N","Y",0,1,"Cluster 1","comp17964_c0_seq1.2966.4930.plus.B_3_1","cnr:EB819_07885","K07787","copper/silver efflux system protein","map02020","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K07787"
"comp17964_c0_seq1.4948.6195.plus.B_3",3.77771577877467,-1.7664498139653,0.758209695153096,0.68163518809734,0.759008733487591,1.0682365689371,1.72877492545285,0.450047244149581,"Blue_vs_White","Y","N",1,0,"Cluster 1","comp17964_c0_seq1.4948.6195.plus.B_3_1","chrz:CO230_01160","K15725","outer membrane protein, heavy metal efflux system","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K15725"
