"id","tSNE1","tSNE2","z1_3","z1_1","z1_2","z10_3","z10_1","z10_2","Cluster","ko_name","ko","ko_des","level3_pathway_id","level3_pathway_name","KEGG_ec","KEGG_En_description","KEGG_Modules","KEGG_Mo_description","level1_pathway_name","level2_pathway_name"
"z1_1_k97_165523_8",-2.92225617520651,33.105045938802,0.145626831322663,0.606452152889274,0.272401113799719,0.14327728879626,0.137632988277674,0.394301660636575,"Cluster 7","xau:Xaut_0920","K03521","electron transfer flavoprotein beta subunit","-","-","-","-","-","-","-","-"
"z1_1_k97_198112_14",-3.54800257348656,31.1651629328457,0.171840178000953,0.730495096748149,0.267253822958782,0.145143635973332,0.131918045991718,0.161530817466333,"Cluster 7","-","-","-","-","-","-","-","-","-","-","-"
"z1_1_k97_269901_41",-3.52225791720624,33.297163143271,0.207368299245466,0.685728696677466,0.222745743429533,0.159794694320323,0.151581306303058,0.479982317618082,"Cluster 7","-","-","-","-","-","-","-","-","-","-","-"
"z1_1_k97_370048_23",-6.39642385468747,35.0419971922785,0.242578361386603,0.523184297047564,0.297324388524473,0.290358593991569,0.237903160071353,0.583108230119675,"Cluster 7","sgh:107581637","K02258","cytochrome c oxidase assembly protein subunit 11","ko01100;ko04714;ko00190","Metabolic pathways;Thermogenesis;Oxidative phosphorylation","-","-","M00154","Cytochrome c oxidase","Metabolism;Organismal Systems;Metabolism","Global and overview maps;Environmental adaptation;Energy metabolism"
"z2_1_k97_150025_1",-4.80111509031001,36.2875000110961,0.335539370303002,0.503098165594726,0.18764519097315,0.242361951322216,0.170623903548418,0.457357731968532,"Cluster 7","xau:Xaut_0213","K03719","Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein","-","-","-","-","-","-","-","-"
"z2_1_k97_194677_1",-5.11514456511259,34.8064849687272,0.285898855965454,0.633346914089972,0.25910642017954,0.266274554688183,0.221680903279153,0.446123895717873,"Cluster 7","xau:Xaut_1866","K01912","phenylacetate-CoA ligase [EC:6.2.1.30]","ko00360;ko01100;ko01120;ko05111","Phenylalanine metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Biofilm formation - Vibrio cholerae","6.2.1.30","Ligases; Forming carbon-sulfur bonds; Acid-thiol ligases; phenylacetate:CoA ligase (AMP-forming)","M00878","Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA","Metabolism;Metabolism;Metabolism;Cellular Processes","Amino acid metabolism;Global and overview maps;Global and overview maps;Cellular community - prokaryotes"
"z2_2_k97_161411_1",-5.18614282425293,36.2619743445318,0.354733634326099,0.534253190690784,0.252947444343574,0.275365895278325,0.240297128069627,0.427339757547557,"Cluster 7","xau:Xaut_3735","K07497","putative transposase","-","-","-","-","-","-","-","-"
"z4_3_k97_180585_1",-0.410261901673726,34.1933828822328,0.199759511677214,0.492767068731818,0.179427339923988,0.143565706301761,0.101335253137442,0.37839340297869,"Cluster 7","-","-","-","-","-","-","-","-","-","-","-"
"z5_1_k97_155401_1",1.87703473465034,35.6207995776627,0.197854317912347,0.281281352253778,0.309783727879141,0.159579698869946,0.180787628801307,0.497291565082308,"Cluster 7","-","-","-","-","-","-","-","-","-","-","-"
"z5_1_k97_164748_1",0.761571774255653,34.0219566167652,0.18534273731424,0.355059030462763,0.188639906461246,0.171297115857873,0.0428887132186819,0.365030306116612,"Cluster 7","afa:UZ73_09710","K21394","TRAP-type transport system small permease protein","-","-","-","-","-","-","-","-"
"z6_1_k97_327843_1",-0.0776312013977433,34.8250054816608,0.269351267152897,0.431180380632396,0.216212931323859,0.146575924890808,0.133238899204259,0.40127562351659,"Cluster 7","bof:FQV39_27600","K03408","purine-binding chemotaxis protein CheW","ko02020;ko02030","Two-component system;Bacterial chemotaxis","-","-","-","-","Environmental Information Processing;Cellular Processes","Signal transduction;Cell motility"
"z6_2_k97_218842_2",-4.21712108311359,35.1292174958858,0.256059768031494,0.540369925122623,0.272107753292554,0.232699080941604,0.118353221194284,0.461436914874346,"Cluster 7","xau:Xaut_2290","K01814","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]","ko01230;ko00340;ko01100;ko01110","Biosynthesis of amino acids;Histidine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites","5.3.1.16","Isomerases; Intramolecular oxidoreductases; Interconverting aldoses and ketoses, and related compounds; 1-(5-phospho-beta-D-ribosyl)-5-[(5-phospho-beta-D-ribosylamino)methylideneamino]imidazole-4-carboxamide aldose-ketose-isomerase","M00026","Histidine biosynthesis, PRPP => histidine","Metabolism;Metabolism;Metabolism;Metabolism","Global and overview maps;Amino acid metabolism;Global and overview maps;Global and overview maps"
"z7_1_k97_101050_2",1.57991733723669,35.471963889764,0.18040856163097,0.409216696462649,0.304269742568659,0.130609064458238,0.183897736791008,0.452153696087787,"Cluster 7","mesm:EJ066_26080","K00338","NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]","ko00190;ko01100","Oxidative phosphorylation;Metabolic pathways","7.1.1.2","Translocases; Catalysing the translocation of hydrons; Linked to oxidoreductase reactions; NADH:ubiquinone oxidoreductase","M00144","NADH:quinone oxidoreductase, prokaryotes","Metabolism;Metabolism","Energy metabolism;Global and overview maps"
"z8_1_k97_330483_2",-3.59153683036384,31.3994586012035,0.251248061696765,0.69939860021211,0.226912744850777,0.184305108518136,0.115783165482611,0.251606447664196,"Cluster 7","xau:Xaut_1856","K13766","methylglutaconyl-CoA hydratase [EC:4.2.1.18]","ko00280;ko01100","Valine, leucine and isoleucine degradation;Metabolic pathways","4.2.1.18","Lyases; Carbon-oxygen lyases; Hydro-lyases; (S)-3-hydroxy-3-methylglutaryl-CoA hydro-lyase (trans-3-methylglutaconyl-CoA-forming)","M00036","Leucine degradation, leucine => acetoacetate + acetyl-CoA","Metabolism;Metabolism","Amino acid metabolism;Global and overview maps"
"z9_2_k97_232281_2",-3.93208290536724,32.7957673411002,0.298003935482337,0.624388579730418,0.178432250796366,0.177781588408505,0.126888317653862,0.386641377768608,"Cluster 7","-","-","-","-","-","-","-","-","-","-","-"
