"id","tSNE1","tSNE2","z1_3","z1_1","z1_2","z10_3","z10_1","z10_2","Cluster","ko_name","ko","ko_des","level3_pathway_id","level3_pathway_name","KEGG_ec","KEGG_En_description","KEGG_Modules","KEGG_Mo_description","level1_pathway_name","level2_pathway_name"
"z1_1_k97_102529_6",-1.35151915600995,-15.7567781667951,0.496630074110212,0.367020238823218,0.294685105457983,0.706322348654603,0.998040276805883,0.356773713526661,"Cluster 1","cof:FOZ74_04950","K07708","two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]","ko02020","Two-component system","2.7.13.3","Transferases; Transferring phosphorus-containing groups; Protein-histidine kinases; ATP:protein-L-histidine N-phosphotransferase","-","-","Environmental Information Processing","Signal transduction"
"z1_1_k97_10489_17",-32.334020985944,-13.3165399209995,0.565272687511791,0.415416486701553,0.466100646307618,0.814228375111394,1.10315393954851,0.40434598953223,"Cluster 1","-","-","-","-","-","-","-","-","-","-","-"
"z1_1_k97_10489_19",19.0517181985851,2.09587074951991,0.45038405575785,0.329864759122361,0.356522828631643,0.626413055411835,0.934110695718814,0.258903449518333,"Cluster 1","cke:B5M06_08960","K19123","CRISPR system Cascade subunit CasA","-","-","-","-","-","-","-","-"
"z1_1_k97_108229_12",27.9222084322559,9.64032722295728,0.449088912215282,0.215518839962272,0.275043313760653,0.585636562079945,0.900472345026014,0.222880875099044,"Cluster 1","-","-","-","-","-","-","-","-","-","-","-"
"z1_1_k97_108229_19",44.3686541754052,-10.273106238737,0.330401669555668,0.19809144490771,0.192811882575931,0.449872087373851,0.754189081160176,0.162182511735317,"Cluster 1","-","-","-","-","-","-","-","-","-","-","-"
"z1_1_k97_108229_26",44.345726306392,-10.800734883353,0.34783378257473,0.198082605590176,0.197502239892292,0.430092872553167,0.745713305065762,0.198190871808262,"Cluster 1","adn:Alide_2634","K03578","ATP-dependent helicase HrpA [EC:3.6.4.13]","-","-","3.6.4.13","Hydrolases; Acting on acid anhydrides; Acting on acid anhydrides to facilitate cellular and subcellular movement; ATP phosphohydrolase (RNA helix unwinding)","-","-","-","-"
"z1_1_k97_108229_27",40.8781465686707,-2.2866544013171,0.346516025329535,0.22958533351123,0.246152398542328,0.496652049624471,0.805995361768137,0.205974273575282,"Cluster 1","-","-","-","-","-","-","-","-","-","-","-"
"z1_1_k97_108229_41",-21.1668466673585,-10.567844962765,0.497455052038756,0.452093196724501,0.431476260007288,0.780066362420944,1.08692564879637,0.342708800236353,"Cluster 1","-","-","-","-","-","-","-","-","-","-","-"
"z1_1_k97_108229_42",-1.35319365174478,10.7193137986374,0.5297149702503,0.301181634375294,0.452835270285547,0.693825619442431,1.07138785027289,0.186659553347221,"Cluster 1","-","-","-","-","-","-","-","-","-","-","-"
"z1_1_k97_108229_44",-21.6673067541534,14.3252293025774,0.616094670351123,0.364211652746443,0.428933869592719,0.885391563036467,1.10461139768923,0.175590312099247,"Cluster 1","cke:B5M06_01170","K06024","segregation and condensation protein B","-","-","-","-","-","-","-","-"
"z1_1_k97_108229_7",-19.535627675757,14.8474868991514,0.55462989210156,0.390222776196648,0.34444145366966,0.819515506879081,1.06795371422485,0.183593886144707,"Cluster 1","-","-","-","-","-","-","-","-","-","-","-"
"z1_1_k97_115912_23",-42.9219198174179,11.4812342051172,0.659836664059478,0.488514531071418,0.501336357527148,0.85388684839828,1.16513812294507,0.387642350504326,"Cluster 1","cdn:BN940_18131","K18383","feruloyl-CoA hydratase/lyase [EC:4.1.2.61]","ko01100;ko01110;ko00998","Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of various secondary metabolites - part 2","4.1.2.61","Lyases; Carbon-carbon lyases; Aldehyde-lyases; feruloyl-CoA hydro-lyase/vanillin-lyase (acetyl-CoA-forming)","-","-","Metabolism;Metabolism;Metabolism","Global and overview maps;Global and overview maps;Biosynthesis of other secondary metabolites"
"z1_1_k97_124945_26",-31.5998894846216,-15.6208242285271,0.559771432889555,0.460887098268322,0.434237458800474,0.85649690164925,1.05124490462212,0.440259337032212,"Cluster 1","-","-","-","-","-","-","-","-","-","-","-"
