"id","tSNE1","tSNE2","z1_3","z1_1","z1_2","z10_3","z10_1","z10_2","Cluster","ko_name","ko","ko_des","level3_pathway_id","level3_pathway_name","KEGG_ec","KEGG_En_description","KEGG_Modules","KEGG_Mo_description","level1_pathway_name","level2_pathway_name"
"z1_1_k97_102529_9",12.4859338472298,-3.03626470843689,0.484976920166574,0.29022087528314,0.329975633602552,0.693639592704881,0.953555304904601,0.273440471613498,"Cluster 4","cke:B5M06_05210","K03320","ammonium transporter, Amt family","-","-","-","-","-","-","-","-"
"z1_1_k97_10489_16",18.6511746396763,0.405328278117461,0.507452931725708,0.301795568396337,0.333637511244137,0.56191883645473,0.968306411992159,0.277111021846659,"Cluster 4","eba:ebA5073","K03821","poly[(R)-3-hydroxyalkanoate] polymerase subunit PhaC [EC:2.3.1.304]","ko00650;ko01100","Butanoate metabolism;Metabolic pathways","2.3.1.304","-","-","-","Metabolism;Metabolism","Carbohydrate metabolism;Global and overview maps"
"z1_1_k97_10489_21",-9.54660842084417,5.82083329694663,0.571262119823191,0.246048714725812,0.376810487756231,0.75293149676875,1.06913682526241,0.313549298081225,"Cluster 4","cke:B5M06_08950","K19124","CRISPR system Cascade subunit CasC","-","-","-","-","-","-","-","-"
"z1_1_k97_108229_36",-14.3664772920364,9.01442237595379,0.535412648280877,0.410417527077191,0.4510453565186,0.819716089242565,1.06310612596503,0.307818525570379,"Cluster 4","-","-","-","-","-","-","-","-","-","-","-"
"z1_1_k97_111299_2",-14.4216483378627,1.58179697075165,0.603166261810069,0.387872848717325,0.415123701917897,0.687286027424703,1.03688371197557,0.235145530887395,"Cluster 4","-","-","-","-","-","-","-","-","-","-","-"
"z1_1_k97_111299_3",33.4912261067697,11.5109153730415,0.452423224699617,0.2522097297876,0.257591063632902,0.574611300084153,0.856384153790009,0.33481525857505,"Cluster 4","cke:B5M06_06605","K01638","malate synthase [EC:2.3.3.9]","ko00620;ko00630;ko01200;ko01100;ko01110;ko01120","Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Carbon metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments","2.3.3.9","Transferases; Acyltransferases; Acyl groups converted into alkyl groups on transfer; acetyl-CoA:glyoxylate C-acetyltransferase [(S)-malate-forming]","M00012","Glyoxylate cycle","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism","Carbohydrate metabolism;Carbohydrate metabolism;Global and overview maps;Global and overview maps;Global and overview maps;Global and overview maps"
"z1_1_k97_115912_14",-30.4755200636562,4.95937453558542,0.652969263145508,0.516081689544858,0.383516714754079,0.803848177059509,1.03242800696299,0.326789000024516,"Cluster 4","-","-","-","-","-","-","-","-","-","-","-"
"z1_1_k97_115912_16",-18.4316492964096,12.6602355623501,0.625823495691337,0.361993259502683,0.362831142587377,0.836963977389908,1.03440388400472,0.253028574448292,"Cluster 4","vaa:AX767_13905","K01997","branched-chain amino acid transport system permease protein","ko02010;ko02024","ABC transporters;Quorum sensing","-","-","-","-","Environmental Information Processing;Cellular Processes","Membrane transport;Cellular community - prokaryotes"
"z1_1_k97_115912_25",-7.74512374149949,8.1446087642115,0.555780718238434,0.29839828502757,0.311935663368508,0.809218714437038,1.04952853572525,0.223984909103565,"Cluster 4","ctes:O987_06280","K00141","benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]","ko01220;ko00623;ko01100;ko00627;ko01120;ko00622","Degradation of aromatic compounds;Toluene degradation;Metabolic pathways;Aminobenzoate degradation;Microbial metabolism in diverse environments;Xylene degradation","1.2.1.28","Oxidoreductases; Acting on the aldehyde or oxo group of donors; With NAD+ or NADP+ as acceptor; benzaldehyde:NAD+ oxidoreductase","M00537;M00538","-","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism","Global and overview maps;Xenobiotics biodegradation and metabolism;Global and overview maps;Xenobiotics biodegradation and metabolism;Global and overview maps;Xenobiotics biodegradation and metabolism"
"z1_1_k97_115912_44",-43.6280475938442,1.98004552551322,0.701361208902347,0.421251267057087,0.458016901382898,0.809875776956564,1.16332370067773,0.344076689505248,"Cluster 4","-","-","-","-","-","-","-","-","-","-","-"
