"id","tSNE1","tSNE2","z1_3","z1_1","z1_2","z10_3","z10_1","z10_2","Cluster","ko_name","ko","ko_des","level3_pathway_id","level3_pathway_name","KEGG_ec","KEGG_En_description","KEGG_Modules","KEGG_Mo_description","level1_pathway_name","level2_pathway_name"
"z1_1_k97_10831_3",13.3048476108783,-39.0665732460882,0.270252020990864,0.508878184150756,0.229919412928482,0.425646769858732,0.365604265709842,0.123426460735107,"Cluster 3","sbu:SpiBuddy_1063","K23775","MarR family transcriptional regulator, organic hydroperoxide resistance regulator","-","-","-","-","-","-","-","-"
"z1_1_k97_109206_4",19.3708476524365,-36.779864420226,0.236778663124558,0.272784799570023,0.26327392147147,0.287449435370072,0.413357899812695,0.160951489975986,"Cluster 3","caf:AL524_15430","K11963","urea transport system ATP-binding protein","ko02010","ABC transporters","-","-","-","-","Environmental Information Processing","Membrane transport"
"z1_1_k97_120157_4",17.6434687172819,-45.5151507067235,0.126109382418725,0.219948454960238,0.45775875225151,0.413558361086064,0.283257552542378,0.192006829181083,"Cluster 3","amon:H9L24_06930","K05563","multicomponent K+:H+ antiporter subunit F","-","-","-","-","-","-","-","-"
"z1_1_k97_143049_6",19.4754344172369,-39.6489828732031,0.169644562210021,0.305413847243473,0.306962133741586,0.310030975241014,0.356169380237205,0.171409700350081,"Cluster 3","asx:CDL62_08590","K04069","pyruvate formate lyase activating enzyme [EC:1.97.1.4]","-","-","1.97.1.4","Oxidoreductases; Other oxidoreductases; Sole sub-subclass for oxidoreductases that do not belong in the other subclasses; [formate C-acetyltransferase]-glycine dihydroflavodoxin:S-adenosyl-L-methionine oxidoreductase (S-adenosyl-L-methionine cleaving)","-","-","-","-"
"z1_1_k97_14640_3",13.8366121016508,-36.0158873983254,0.208641300864334,0.406854888664913,0.230226032292115,0.370066240008382,0.437793813385562,0.223623941882902,"Cluster 3","-","-","-","-","-","-","-","-","-","-","-"
"z1_1_k97_146588_5",22.28189666259,-37.4788637815713,0.196410771450561,0.221179388237151,0.275593235820722,0.403876933994622,0.328835784230242,0.157010934799092,"Cluster 3","-","-","-","-","-","-","-","-","-","-","-"
"z1_1_k97_172272_11",21.4210480817964,-36.7629233939391,0.130946804563947,0.221179388237151,0.187362940348508,0.369699818394133,0.387573266331246,0.218348609675588,"Cluster 3","mesp:C1M53_28525","K00901","diacylglycerol kinase (ATP) [EC:2.7.1.107]","ko04361;ko01100;ko04072;ko00564;ko00561;ko05231;ko04070;ko01110","Axon regeneration;Metabolic pathways;Phospholipase D signaling pathway;Glycerophospholipid metabolism;Glycerolipid metabolism;Choline metabolism in cancer;Phosphatidylinositol signaling system;Biosynthesis of secondary metabolites","2.7.1.107","Transferases; Transferring phosphorus-containing groups; Phosphotransferases with an alcohol group as acceptor; ATP:1,2-diacyl-sn-glycerol 3-phosphotransferase","-","-","Organismal Systems;Metabolism;Environmental Information Processing;Metabolism;Metabolism;Human Diseases;Environmental Information Processing;Metabolism","Development and regeneration;Global and overview maps;Signal transduction;Lipid metabolism;Lipid metabolism;Cancer: overview;Signal transduction;Global and overview maps"
"z1_1_k97_189986_1",23.0714699387007,-36.4639735973805,0.216873272105518,0.188430933927468,0.329330569485046,0.473756615181675,0.359496519040269,0.235887534689903,"Cluster 3","ppn:Palpr_2021","K01520","dUTP pyrophosphatase [EC:3.6.1.23]","ko00983;ko01100;ko00240","Drug metabolism - other enzymes;Metabolic pathways;Pyrimidine metabolism","3.6.1.23","Hydrolases; Acting on acid anhydrides; In phosphorus-containing anhydrides; dUTP nucleotidohydrolase","M00938","Pyrimidine deoxyribonuleotide biosynthesis, UDP => dTTP","Metabolism;Metabolism;Metabolism","Xenobiotics biodegradation and metabolism;Global and overview maps;Nucleotide metabolism"
"z1_1_k97_212293_4",22.5144860646052,-38.5021026754435,0.197666242712098,0.193062699741652,0.234892343594206,0.253740250747431,0.275848823774848,0.214385542945211,"Cluster 3","xfa:XF_a0011","K03201","type IV secretion system protein VirB6","ko03070","Bacterial secretion system","-","-","-","-","Environmental Information Processing","Membrane transport"
"z1_1_k97_216633_5",20.5570853486529,-44.0711631387827,0.201941159267147,0.334162978323783,0.309014223160015,0.398934235368905,0.296930346977782,0.295980263757924,"Cluster 3","-","-","-","-","-","-","-","-","-","-","-"
"z1_1_k97_237577_1",-4.36990879907501,45.9687435538597,0.372269815799634,0.144804281948301,0.319086999716788,0.248339008849064,0.278078851558845,0.427947036302417,"Cluster 3","-","-","-","-","-","-","-","-","-","-","-"
