"id","tSNE1","tSNE2","Nitritation_3","Nitritation_2","Nitritation_1","Denitrification_3","Denitrification_2","Denitrification_1","degs","Cluster","KEGG_Gene","ko","ko_name","ko_des","KEGG_ec","KEGG_En_description","KEGG_Modules","KEGG_Mo_description","level1_pathway_name","level2_pathway_name","level3_pathway_id","level3_pathway_name"
"Nitritation_1_k97_282332_1",-3.92560846499485,16.0978383135548,-0.653512134513985,-0.677151280895579,-0.658906207163547,-0.624374753836146,-0.59350954529772,-0.686026326589247,"Denitrification_vs_Nitritation","Cluster 4","ial:IALB_1579","K00764","purF, PPAT","amidophosphoribosyltransferase [EC:2.4.2.14]","2.4.2.14","Transferases;Glycosyltransferases;Pentosyltransferases;5-phospho-beta-D-ribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating)","M00048","De novo purine biosynthesis, PRPP + glutamine => IMP","Metabolism;Metabolism;Metabolism;Metabolism","Nucleotide metabolism;Global and overview maps;Global and overview maps;Amino acid metabolism","ko00230;ko01110;ko01100;ko00250","Purine metabolism;Biosynthesis of secondary metabolites;Metabolic pathways;Alanine, aspartate and glutamate metabolism"
"Nitritation_1_k97_386741_2",-5.45329090983441,12.3298654917066,-0.609615918513008,-0.674068980251169,-0.681044900006674,-0.632055846058927,-0.618086705943176,-0.608114058307795,"Denitrification_vs_Nitritation","Cluster 4","mro:MROS_1925","K00074","paaH, hbd, fadB, mmgB","3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]","1.1.1.157","Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;(S)-3-hydroxybutanoyl-CoA:NADP+ oxidoreductase","M00878","Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism","Global and overview maps;Amino acid metabolism;Global and overview maps;Xenobiotics biodegradation and metabolism;Carbohydrate metabolism;Global and overview maps","ko01120;ko00360;ko01100;ko00362;ko00650;ko01200","Microbial metabolism in diverse environments;Phenylalanine metabolism;Metabolic pathways;Benzoate degradation;Butanoate metabolism;Carbon metabolism"
"Nitritation_1_k97_491620_2",-9.60554296566609,17.5907976104201,-0.58379408399671,-0.650556091170615,-0.675136583894917,-0.625404128309217,-0.633088717330184,-0.671312724035896,"Denitrification_vs_Nitritation","Cluster 4","ial:IALB_2967","K02377","TSTA3, fcl","GDP-L-fucose synthase [EC:1.1.1.271]","1.1.1.271","Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;GDP-beta-L-fucose:NADP+ 4-oxidoreductase (3,5-epimerizing)","-","-","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism","Global and overview maps;Glycan biosynthesis and metabolism;Carbohydrate metabolism;Global and overview maps;Carbohydrate metabolism","ko01100;ko00541;ko00051;ko01250;ko00520","Metabolic pathways;O-Antigen nucleotide sugar biosynthesis;Fructose and mannose metabolism;Biosynthesis of nucleotide sugars;Amino sugar and nucleotide sugar metabolism"
"Nitritation_1_k97_631534_1",-6.61005698202585,17.924757971066,-0.646839787375333,-0.679634404221731,-0.626186054573259,-0.684023433008689,-0.645041647673082,-0.674222468740476,"Denitrification_vs_Nitritation","Cluster 4","mro:MROS_1901","K00943","tmk, DTYMK","dTMP kinase [EC:2.7.4.9]","2.7.4.9","Transferases;Transferring phosphorus-containing groups;Phosphotransferases with a phosphate group as acceptor;ATP:dTMP phosphotransferase","M00938","Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP","Metabolism;Metabolism;Metabolism","Nucleotide metabolism;Global and overview maps;Global and overview maps","ko00240;ko01232;ko01100","Pyrimidine metabolism;Nucleotide metabolism;Metabolic pathways"
"Nitritation_2_k97_107175_2",-5.4552317589198,16.449189223957,-0.647557263082064,-0.65213249325865,-0.637157681404648,-0.652768596223362,-0.617714827351109,-0.659915130552304,"Denitrification_vs_Nitritation","Cluster 4","ial:IALB_2523","K04562","flhG, fleN","flagellar biosynthesis protein FlhG","-","-","-","-","-","-","-","-"
"Nitritation_2_k97_12073_1",-5.42379905403983,16.4015781758609,-0.651120123077107,-0.643407698476658,-0.648935698995617,-0.66913567664586,-0.615880970674202,-0.676622198761187,"Denitrification_vs_Nitritation","Cluster 4","ial:IALB_0342","K00912","lpxK","tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]","2.7.1.130","Transferases;Transferring phosphorus-containing groups;Phosphotransferases with an alcohol group as acceptor;ATP:2-deoxy-2-{[(3R)-3-hydroxyacyl]amino}-3-O-[(3R)-3-hydroxyacyl]-beta-D-glucopyranosyl-(1->6)-2-deoxy-3-O-[(3R)-3-hydroxyacyl]-2-{[(3R)-3-hydroxyacyl]amino}-1-O-phospho-alpha-D-glucopyranose 4'-O-phosphotransferase","M00866;M00060","-","Metabolism;Metabolism","Global and overview maps;Glycan biosynthesis and metabolism","ko01100;ko00540","Metabolic pathways;Lipopolysaccharide biosynthesis"
"Nitritation_2_k97_122120_2",-7.98198898857444,16.4352431621858,-0.629328689560995,-0.634559355245223,-0.701172434579756,-0.635286584803112,-0.629574882786952,-0.68925064497366,"Denitrification_vs_Nitritation","Cluster 4","ial:IALB_2501","K02557","motB","chemotaxis protein MotB","-","-","-","-","Cellular Processes;Cellular Processes","Cell motility;Cell motility","ko02040;ko02030","Flagellar assembly;Bacterial chemotaxis"
"Nitritation_2_k97_125381_2",-7.7829348826645,14.4223507059919,-0.657634059070597,-0.617707854065083,-0.662335945111406,-0.661803973193519,-0.633523996257257,-0.651907819399966,"Denitrification_vs_Nitritation","Cluster 4","ial:IALB_2515","K02392","flgG","flagellar basal-body rod protein FlgG","-","-","-","-","Cellular Processes","Cell motility","ko02040","Flagellar assembly"
"Nitritation_2_k97_172916_2",-6.07787714181793,14.4310742562963,-0.671454192657683,-0.626401736808022,-0.639220477604833,-0.654162296539283,-0.617178910639604,-0.636615705009158,"Denitrification_vs_Nitritation","Cluster 4","ial:IALB_0441","K02477","K02477","two-component system, LytTR family, response regulator","-","-","-","-","-","-","-","-"
"Nitritation_2_k97_179816_2",-9.93380636794132,17.7928239209856,-0.575241270984296,-0.664226561333751,-0.664332400729724,-0.635103893738269,-0.64241809021258,-0.674555722872079,"Denitrification_vs_Nitritation","Cluster 4","mro:MROS_2192","K03408","cheW","purine-binding chemotaxis protein CheW","-","-","-","-","Environmental Information Processing;Cellular Processes","Signal transduction;Cell motility","ko02020;ko02030","Two-component system;Bacterial chemotaxis"
