"id","tSNE1","tSNE2","Nitritation_3","Nitritation_2","Nitritation_1","Denitrification_3","Denitrification_2","Denitrification_1","degs","Cluster","KEGG_Gene","ko","ko_name","ko_des","KEGG_ec","KEGG_En_description","KEGG_Modules","KEGG_Mo_description","level1_pathway_name","level2_pathway_name","level3_pathway_id","level3_pathway_name"
"Nitritation_2_k97_145169_3",-20.7353061537071,-9.04655843522131,0.996339389742687,0.844239434251049,0.946143265905861,1.76378572598809,1.61544248967953,1.83039071790316,"Denitrification_vs_Nitritation","Cluster 6","jeh:EJN90_05310","K00931","proB","glutamate 5-kinase [EC:2.7.2.11]","2.7.2.11","Transferases;Transferring phosphorus-containing groups;Phosphotransferases with a carboxy group as acceptor;ATP:L-glutamate 5-phosphotransferase","M00015","Proline biosynthesis, glutamate => proline","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism","Amino acid metabolism;Global and overview maps;Global and overview maps;Biosynthesis of other secondary metabolites;Global and overview maps","ko00330;ko01110;ko01100;ko00332;ko01230","Arginine and proline metabolism;Biosynthesis of secondary metabolites;Metabolic pathways;Carbapenem biosynthesis;Biosynthesis of amino acids"
"Nitritation_2_k97_20018_7",-20.4339557078025,-9.84724066980228,1.25083074818289,0.742375544650786,0.864463546519629,1.97702657454965,1.30195091021033,1.80876755916322,"Denitrification_vs_Nitritation","Cluster 6","crn:CAR_c02000","K01738","cysK","cysteine synthase [EC:2.5.1.47]","2.5.1.47","Transferases;Transferring alkyl or aryl groups, other than methyl groups;Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date);O-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase","M00021","Cysteine biosynthesis, serine => cysteine","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism","Energy metabolism;Global and overview maps;Global and overview maps;Global and overview maps;Amino acid metabolism;Global and overview maps;Global and overview maps","ko00920;ko01230;ko01200;ko01120;ko00270;ko01110;ko01100","Sulfur metabolism;Biosynthesis of amino acids;Carbon metabolism;Microbial metabolism in diverse environments;Cysteine and methionine metabolism;Biosynthesis of secondary metabolites;Metabolic pathways"
"Nitritation_2_k97_272913_58",-21.4902752785282,-9.36534698484262,1.15883603201803,1.10922250376679,0.994092927668047,1.70032283276452,1.49794831955625,1.67113417700595,"Denitrification_vs_Nitritation","Cluster 6","jeh:EJN90_11185","K11618","liaR","two-component system, NarL family, response regulator LiaR","-","-","-","-","Environmental Information Processing","Signal transduction","ko02020","Two-component system"
"Nitritation_2_k97_275793_3",-20.7028960418609,-9.87923476448446,0.885903227893677,0.799493044818036,1.36507638452565,1.87886943848201,1.41837156056779,1.67243907613984,"Denitrification_vs_Nitritation","Cluster 6","tcl:Tchl_1614","K03560","tolR","biopolymer transport protein TolR","-","-","-","-","-","-","-","-"
"Nitritation_2_k97_32560_7",-21.3622686928566,-8.89756910210852,1.19805443006791,0.9565838773997,0.803923465335634,1.56261849864092,1.65796148050175,1.85316533993917,"Denitrification_vs_Nitritation","Cluster 6","jpo:G7058_11345","K01519","rdgB, ITPA","XTP/dITP diphosphohydrolase [EC:3.6.1.66]","3.6.1.66","Hydrolases;Acting on acid anhydrides;In phosphorus-containing anhydrides;XTP/dITP diphosphohydrolase (diphosphate-forming)","-","-","Metabolism;Metabolism;Metabolism;Metabolism","Nucleotide metabolism;Global and overview maps;Global and overview maps;Xenobiotics biodegradation and metabolism","ko00230;ko01100;ko01232;ko00983","Purine metabolism;Metabolic pathways;Nucleotide metabolism;Drug metabolism - other enzymes"
"Nitritation_2_k97_336775_2",-24.6874145895186,-9.21410872867773,1.43918102943277,1.48398668514401,1.14243755507838,1.45099269375149,1.54747522535599,1.14290106515362,"Denitrification_vs_Nitritation","Cluster 6","ddz:DSYM_30480","K14980","chvG","two-component system, OmpR family, sensor histidine kinase ChvG [EC:2.7.13.3]","2.7.13.3","Transferases;Transferring phosphorus-containing groups;Protein-histidine kinases;ATP:protein-L-histidine N-phosphotransferase","-","-","Environmental Information Processing","Signal transduction","ko02020","Two-component system"
"Nitritation_2_k97_405648_4",-22.0452595729286,-10.5672712864627,1.24891966158072,1.1602192897066,1.22473426765423,2.02167005436626,1.21074790488183,1.24711363334991,"Denitrification_vs_Nitritation","Cluster 6","miu:ABE85_01640","K07666","qseB","two-component system, OmpR family, response regulator QseB","-","-","-","-","Cellular Processes;Environmental Information Processing","Cellular community - prokaryotes;Signal transduction","ko02024;ko02020","Quorum sensing;Two-component system"
"Nitritation_2_k97_435945_20",-21.1824164052094,-9.11242453859547,1.15636634946705,1.054858408558,0.760663752219263,1.78023024847718,1.63386040154092,1.65611470068554,"Denitrification_vs_Nitritation","Cluster 6","kzo:NCTC404_01630","K25289","fhuG, ftsD, siuG","ferric hydroxamate/heme transport system permease protein","-","-","-","-","-","-","-","-"
"Nitritation_2_k97_449446_2",-25.0517163302969,-9.44530353618227,1.5550656667475,1.53133648510985,1.16508107984188,1.23518747151603,1.46205895208314,1.26330655060532,"Denitrification_vs_Nitritation","Cluster 6","azi:AzCIB_3037","K01817","trpF","phosphoribosylanthranilate isomerase [EC:5.3.1.24]","5.3.1.24","Isomerases;Intramolecular oxidoreductases;Interconverting aldoses and ketoses, and related compounds;N-(5-phospho-beta-D-ribosyl)anthranilate aldose-ketose-isomerase","M00023","Tryptophan biosynthesis, chorismate => tryptophan","Metabolism;Metabolism;Metabolism;Metabolism","Global and overview maps;Global and overview maps;Global and overview maps;Amino acid metabolism","ko01100;ko01110;ko01230;ko00400","Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Phenylalanine, tyrosine and tryptophan biosynthesis"
"Nitritation_2_k97_452869_31",-20.6691279305465,-9.6698108561017,1.11735313388064,0.97910971472853,0.74587959938243,2.05430447866911,1.46315058597745,1.60786930293004,"Denitrification_vs_Nitritation","Cluster 6","lia:JL58_10560","K01704","leuD, IPMI-S","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]","4.2.1.33;4.2.1.35","-","M00535;M00432","-","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism","Carbohydrate metabolism;Global and overview maps;Global and overview maps;Global and overview maps;Global and overview maps;Amino acid metabolism","ko00660;ko01100;ko01110;ko01230;ko01210;ko00290","C5-Branched dibasic acid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Valine, leucine and isoleucine biosynthesis"
"Nitritation_2_k97_50028_5",-22.0305138128049,-8.95981078990416,1.40786358435645,0.827518829354773,0.956700975243071,1.40882168619021,1.64265684180574,1.8207333516414,"Denitrification_vs_Nitritation","Cluster 6","jeh:EJN90_10785","K01955","carB, CPA2","carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]","6.3.5.5","Ligases;Forming carbon-nitrogen bonds;Carbon-nitrogen ligases with glutamine as amido-N-donor;hydrogencarbonate:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)","M00051","De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP","Metabolism;Metabolism;Metabolism;Metabolism","Amino acid metabolism;Nucleotide metabolism;Global and overview maps;Global and overview maps","ko00250;ko00240;ko01100;ko01240","Alanine, aspartate and glutamate metabolism;Pyrimidine metabolism;Metabolic pathways;Biosynthesis of cofactors"
