"id","tSNE1","tSNE2","Nitritation_3","Nitritation_2","Nitritation_1","Denitrification_3","Denitrification_2","Denitrification_1","degs","Cluster","KEGG_Gene","ko","ko_name","ko_des","KEGG_ec","KEGG_En_description","KEGG_Modules","KEGG_Mo_description","level1_pathway_name","level2_pathway_name","level3_pathway_id","level3_pathway_name"
"Nitritation_1_k97_122842_2",-0.644101217413498,-2.97763908411891,-0.654244381982193,-0.579105766999511,-0.587985449340905,-0.450782194830995,-0.560354418303948,-0.57118147771213,"Denitrification_vs_Nitritation","Cluster 1","hyb:Q5W_16835","K01995","livG","branched-chain amino acid transport system ATP-binding protein","-","-","-","-","Environmental Information Processing;Cellular Processes","Membrane transport;Cellular community - prokaryotes","ko02010;ko02024","ABC transporters;Quorum sensing"
"Nitritation_1_k97_456934_3",8.4944321856439,-6.98863082329919,-0.405588651493535,-0.594335753843531,-0.458404321615364,-0.500994591637002,-0.432575274246938,-0.519171508316861,"Denitrification_vs_Nitritation","Cluster 1","aoa:dqs_0173","K07657","phoB","two-component system, OmpR family, phosphate regulon response regulator PhoB","-","-","-","-","Environmental Information Processing","Signal transduction","ko02020","Two-component system"
"Nitritation_1_k97_588334_1",17.5188157280109,-2.1604534239698,-0.213419136854673,-0.293127112473077,-0.553904391841987,-0.790026474419202,-0.507166484515085,-0.233652326659681,"Denitrification_vs_Nitritation","Cluster 1","azq:G3580_01685","K01142","E3.1.11.2, xthA","exodeoxyribonuclease III [EC:3.1.11.2]","3.1.11.2","Hydrolases;Acting on ester bonds;Exodeoxyribonucleases producing 5'-phosphomonoesters;exodeoxyribonuclease III","-","-","Genetic Information Processing","Replication and repair","ko03410","Base excision repair"
"Nitritation_2_k97_114565_22",1.14076513172696,-3.83910502545771,-0.625753077527601,-0.518611043215416,-0.532493277501874,-0.50367523480996,-0.474284924209511,-0.521326285106423,"Denitrification_vs_Nitritation","Cluster 1","cte:CT0727","K00973","rfbA, rmlA, rffH","glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]","2.7.7.24","Transferases;Transferring phosphorus-containing groups;Nucleotidyltransferases;dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase","M00793","dTDP-L-rhamnose biosynthesis","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism","Glycan biosynthesis and metabolism;Global and overview maps;Global and overview maps;Biosynthesis of other secondary metabolites;Global and overview maps;Biosynthesis of other secondary metabolites;Metabolism of terpenoids and polyketides","ko00541;ko01100;ko01110;ko00525;ko01250;ko00521;ko00523","O-Antigen nucleotide sugar biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Acarbose and validamycin biosynthesis;Biosynthesis of nucleotide sugars;Streptomycin biosynthesis;Polyketide sugar unit biosynthesis"
"Nitritation_2_k97_114565_29",7.01894905717913,-9.66773450585015,-0.530788450665357,-0.617928232293647,-0.396389111502446,-0.359634862704608,-0.50995583402326,-0.538810317858911,"Denitrification_vs_Nitritation","Cluster 1","rsi:Runsl_1848","K13955","yogA","zinc-binding alcohol dehydrogenase/oxidoreductase","-","-","-","-","-","-","-","-"
"Nitritation_2_k97_114565_43",2.22442465129571,-4.39926667227907,-0.566706210119428,-0.531543122470197,-0.530845831887285,-0.501979581927028,-0.494534754947668,-0.503493902205933,"Denitrification_vs_Nitritation","Cluster 1","ial:IALB_0362","K11085","msbA","ATP-binding cassette, subfamily B, bacterial MsbA [EC:7.5.2.6]","7.5.2.6","Translocases;Catalysing the translocation of carbohydrates and their derivatives;Linked to the hydrolysis of a nucleoside triphosphate;ATP phosphohydrolase (ABC-type, lipid A-core oligosaccharide-translocating)","-","-","Environmental Information Processing","Membrane transport","ko02010","ABC transporters"
"Nitritation_2_k97_114565_60",6.16045582375932,-5.70845607470535,-0.513356977848059,-0.495562381526547,-0.512504332159357,-0.477449537080916,-0.526852914614549,-0.484578366683508,"Denitrification_vs_Nitritation","Cluster 1","mro:MROS_0659","K00099","dxr","1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]","1.1.1.267","Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;2-C-methyl-D-erythritol-4-phosphate:NADP+ oxidoreductase (isomerizing)","M00096","C5 isoprenoid biosynthesis, non-mevalonate pathway","Metabolism;Metabolism;Metabolism","Global and overview maps;Global and overview maps;Metabolism of terpenoids and polyketides","ko01110;ko01100;ko00900","Biosynthesis of secondary metabolites;Metabolic pathways;Terpenoid backbone biosynthesis"
"Nitritation_2_k97_114565_65",7.46000630224678,-5.82677387421081,-0.576644621086777,-0.523469819196087,-0.443763384830401,-0.425352302001282,-0.551727798924807,-0.520918383964678,"Denitrification_vs_Nitritation","Cluster 1","ial:IALB_0411","K07315","rsbU_P","phosphoserine phosphatase RsbU/P [EC:3.1.3.3]","3.1.3.3","Hydrolases;Acting on ester bonds;Phosphoric-monoester hydrolases;O-phosphoserine phosphohydrolase","-","-","-","-","-","-"
"Nitritation_2_k97_114565_7",6.77620981653147,-6.13441538646688,-0.463804248363383,-0.529642887440291,-0.466787887049325,-0.516426826877741,-0.56913455470329,-0.450376325143374,"Denitrification_vs_Nitritation","Cluster 1","pact:CA264_13425","K00104","glcD","glycolate oxidase [EC:1.1.3.15]","1.1.3.15","Oxidoreductases;Acting on the CH-OH group of donors;With oxygen as acceptor;(S)-2-hydroxy carboxylate:oxygen 2-oxidoreductase","-","-","Metabolism;Metabolism;Metabolism;Metabolism","Global and overview maps;Global and overview maps;Global and overview maps;Carbohydrate metabolism","ko01120;ko01110;ko01100;ko00630","Microbial metabolism in diverse environments;Biosynthesis of secondary metabolites;Metabolic pathways;Glyoxylate and dicarboxylate metabolism"
"Nitritation_2_k97_116269_3",16.7522930369826,-5.22747784284265,-0.460184026238747,-0.332999648787668,-0.447551457312186,-0.384510064080586,-0.474123368848683,-0.478427187314331,"Denitrification_vs_Nitritation","Cluster 1","tsy:THSYN_12355","K02484","K02484","two-component system, OmpR family, sensor kinase [EC:2.7.13.3]","2.7.13.3","Transferases;Transferring phosphorus-containing groups;Protein-histidine kinases;ATP:protein-L-histidine N-phosphotransferase","-","-","-","-","-","-"
